UID	BLANK	GWEIGHT	2A4SA	2A4SA(2)	2A0SB	2A0SA	2A4SB	2A10SB	2A10SB-20	1A17SA	1A17SA-12	2A0SB(2)	2C0SB	2C7SA	1A7SB	2A10SA	2C10SA
MR-5 MC-3 R-9 C-3		1	2807.569795	233.8299567	473.5813933	972.9803571	1954.151471	1405.262524	856.0151979	571.5122807	1712.28268	1086.903258	980.9751033	731.3263889	762.2425214	686.9222222	619.8698068
MR-5 MC-3 R-9 C-4		1	7004.185272	1134.13705	1704.808163	3729.322047	5835.016324	4752.993599	2307.33677	3013.490537	6935.208406	5361.265845	4601.97381	1960.083142	3596.331457	2099.186885	3256.898361
MR-5 MC-3 R-9 C-5		1	2864.547505	197.0544471	333.0887681	1133.217708	1440.169846	1405.656736	645.6334814	417.6286749	1288.216589	1037.30707	1334.247391	641.8395109	790.0508589	571.9074449	492.2663089
MR-5 MC-3 R-9 C-6		1	8965.271162	1165.79039	1449.273972	4852.269208	8012.750372	5361.252191	4135.999424	2714.876808	5908.675155	4482.431953	5851.211862	2656.835625	4365.953765	4312.596638	3500.722537
MR-5 MC-3 R-9 C-7		1	2212.419912	528.4005157	1234.45388	1842.772889	1445.843225	1950.654019	1644.943834	953.8116883	1693.027232	1725.49118	1616.759029	1075.149298	1901.367632	1419.463325	1587.556763
MR-5 MC-3 R-9 C-8		1	6234.819117	433.0438181	745.1109532	2815.43007	3392.018494	4562.031566	2152.110774	687.5372424	2577.638506	2483.536545	3185.312615	1558.374126	1872.528125	1927.000195	1446.836843
MR-5 MC-3 R-9 C-9		1	5712.858041	732.5339663	1230.036592	3354.368625	3925.08386	4654.913934	2514.533418	1461.501768	3583.080357	3671.457851	4391.028016	1788.933593	2583.002378	2403.90124	2132.938032
MR-5 MC-3 R-9 C-10		1	10226.50955	1086.833333	2663.965294	2317.690687	1691.319914	3513.237399	3690.002513	2710.463119	2265.206746	3367.544286	2883.765737	4478.751396	4940.658096	6433.318944	6643.28822
MR-5 MC-3 R-9 C-11		1	2460.279661	305.3853659	542.5448853	1393.790127	1520.871761	1922.799753	974.7341385	445.5308874	1352.619505	1259.808665	1755.020743	1061.529679	1141.525312	948.197372	788.7880064
MR-5 MC-3 R-9 C-12		1	3792.210403	322.717033	601.1146825	1712.053039	1894.984677	2206.556397	1183.599411	400.3060313	1682.638911	1662.976763	2199.581224	982.7511407	1099.51359	941.9855072	800.240942
